Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Emp_EnvironmentSatisfaction,Emp_JobSatisfaction,Emp_WorkLifeBalance,Mgr_JobInvolvement,Mgr_PerformanceRating,Time_in_min,Time_in_max,Time_in_mean,Time_out_min,Time_out_max,Time_out_mean
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,09:13:07,10:37:59,10:00:05,16:18:10,18:14:06,17:22:30
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,09:12:39,10:43:29,09:59:17,16:27:03,18:49:53,17:42:25
32,No,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,09:08:23,10:52:27,10:01:30,15:58:24,18:07:51,17:02:18
38,No,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,09:12:03,10:50:44,09:58:55,16:02:49,18:10:16,17:10:32
32,No,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,09:18:02,10:54:55,09:59:55,16:53:11,19:22:01,18:00:17
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,09:14:33,10:41:57,09:59:20,19:23:19,22:11:06,20:47:06
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,09:12:24,10:40:25,09:57:51,15:06:57,17:55:07,16:53:16
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,09:23:04,10:58:57,10:00:10,15:47:55,17:37:19,16:43:42
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,09:18:40,10:47:42,10:01:21,16:07:36,18:24:30,17:15:32
25,No,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,09:19:01,10:44:39,09:57:53,15:54:21,18:03:46,17:02:41
